bucket_group_patient,level,swab_count,visit_count,patient_count,ctcr_rate,cipr_rate,imir_rate
1,patient_count,46,38,33,10,9,9
1,patient_rate,46,38,33,.30303031,.27272728,.27272728
1,swab_count,46,38,33,16,15,15
1,swab_rate,46,38,33,.34782609,.32608697,.32608697
1,visit_count,46,38,33,13,12,12
1,visit_rate,46,38,33,.34210527,.31578946,.31578946
2,patient_count,25,21,14,2,2,2
2,patient_rate,25,21,14,.14285715,.14285715,.14285715
2,swab_count,25,21,14,2,2,2
2,swab_rate,25,21,14,.079999998,.079999998,.079999998
2,visit_count,25,21,14,2,2,2
2,visit_rate,25,21,14,.095238097,.095238097,.095238097
3,patient_count,16,16,15,7,8,7
3,patient_rate,16,16,15,.46666667,.53333336,.46666667
3,swab_count,16,16,15,7,9,8
3,swab_rate,16,16,15,.4375,.5625,.5
3,visit_count,16,16,15,7,9,8
3,visit_rate,16,16,15,.4375,.5625,.5
